P,T,C,G,D,S,bodySegment,skill,Mark,w,r2,peak,nt,n,r2_alpha
10,2,1,10,1,2,1,1,RUA1,0.478306899840268,0.528212800743219,4.5625,0.672562316715542,32,0.849851422941476
10,2,1,10,1,2,1,1,LUA1,0.443908557910172,0.586912059382201,4,0.654030276610922,37,0.848415028203932
10,2,1,10,1,2,1,1,LF1,0.5596780257592,0.420880313610069,5.18181818181818,0.599688971829734,33,0.764890858817807
10,2,1,10,1,2,1,1,RF1,0.465172487358609,0.588882688813989,3.85294117647059,0.72254614455753,34,0.869974401864478
10,2,1,10,1,2,1,1,L_HM1,0.480510551257976,0.528607393994363,4.95121951219512,0.748980759602317,41,0.791005938115446
10,2,1,10,1,2,1,1,R_HM1,0.435986519788123,0.642069098860047,5.74193548387097,0.557099612146438,31,0.902283788086638
10,2,1,10,1,2,2,1,STRN,0.453916298098667,0.5639884659708,4.44444444444444,0.685320951449984,36,0.834883599762291
10,2,1,10,1,2,2,1,LFHD,0.452396295779631,0.596633773090051,3.61111111111111,0.650325839035516,36,0.824774800940689
10,2,1,10,1,2,2,1,L_IAS,0.499378036404623,0.537302460002871,4.83333333333333,0.566920821114369,30,0.876289213751178
10,2,1,10,1,2,2,1,R_IAS,0.547384024049936,0.455182212367675,5.33333333333333,0.546312588248072,27,0.714875893740522
10,2,1,10,1,2,3,1,L_TH1,0.465189983428886,0.568732503766104,4.34285714285714,0.625412651864265,35,0.843454376242244
10,2,1,10,1,2,3,1,R_TH1,0.472641790280742,0.525367286030895,4.22727272727273,0.505838443081845,22,0.90534735982122
10,2,1,10,1,2,3,1,L_SK1,0.535179912108975,0.534380197855364,4.02941176470588,0.700931516301535,34,0.817542603152452
10,2,1,10,1,2,3,1,R_SK1,0.499583065184358,0.511721457749974,4.2,0.643410138248848,35,0.730792198340608
10,2,1,10,1,2,3,1,L_FM2,0.536587809628575,0.519374204140886,3.05882352941176,0.657702259789546,34,0.771711455530365
10,2,1,10,1,2,3,1,R_FM2,0.450776068109291,0.57688906039548,1.9375,0.570857771260997,16,0.313941227264714
10,2,1,10,2,1,1,1,RUA1,0.452305937378333,0.591028229116865,5.20689655172414,0.570150454407097,29,0.781745691169273
10,2,1,10,2,1,1,1,LUA1,0.433646669375925,0.601726883015855,5.16666666666667,0.526691887347625,24,0.894003881067412
10,2,1,10,2,1,1,1,LF1,0.52562868123384,0.492767450240141,5,0.646789213308759,26,0.84809368176674
10,2,1,10,2,1,1,1,RF1,0.454106612335193,0.572117913550797,4.93333333333333,0.56807482135351,30,0.863136170661433
10,2,1,10,2,1,1,1,L_HM1,0.475165638248158,0.571032987630181,5.52,0.534968474148802,25,0.828594664468894
10,2,1,10,2,1,1,1,R_HM1,0.418170540496856,0.626906751374229,4.65714285714286,0.659439740587282,35,0.787352815860868
10,2,1,10,2,1,2,1,STRN,0.550519922798841,0.449735644319783,4.51351351351351,0.724455540029311,37,0.864793162629539
10,2,1,10,2,1,2,1,LFHD,0.422208788643089,0.625605397715611,4.25,0.761822194199243,36,0.864134903754232
10,2,1,10,2,1,2,1,L_IAS,0.513043571531603,0.478254476321559,5.25925925925926,0.574762972303956,27,0.846904707244977
10,2,1,10,2,1,2,1,R_IAS,0.43902463067529,0.599552128638673,4.875,0.620744010088272,32,0.919918309675099
10,2,1,10,2,1,3,1,L_TH1,0.483132739772971,0.504016004602831,5.33333333333333,0.537142123207697,27,0.647202013471478
10,2,1,10,2,1,3,1,R_TH1,0.432472172171765,0.609047261536641,3.96875,0.617217055485498,32,0.938503984726209
10,2,1,10,2,1,3,1,L_SK1,0.465949699214011,0.558603118799644,4.10810810810811,0.770210626768004,37,0.650895509639602
10,2,1,10,2,1,3,1,R_SK1,0.469042939949158,0.546656802240084,4.85714285714286,0.727157268960548,35,0.875794499155253
10,2,1,10,2,1,3,1,L_FM2,0.468684455880618,0.566391798367289,1.75,0.613690100882724,16,0.284297582748293
10,2,1,10,2,1,3,1,R_FM2,0.477398968998733,0.517845121591133,3.89285714285714,0.612682399567645,28,0.771202645264182
10,2,1,10,2,2,1,1,RUA1,0.422230612876978,0.606864679492502,4.31428571428571,0.716684185379837,35,0.855495505648381
10,2,1,10,2,2,1,1,LUA1,0.478702427785851,0.539741963807914,4.5,0.71041248606466,30,0.903008467111688
10,2,1,10,2,2,1,1,LF1,0.453105235496391,0.564877729983892,5.14285714285714,0.628595317725752,28,0.762039065066851
10,2,1,10,2,2,1,1,RF1,0.448326497743366,0.59513336890236,4.14285714285714,0.560176779741997,28,0.870094300043419
10,2,1,10,2,2,1,1,L_HM1,0.433789750719223,0.597824113307374,5.2,0.698439241917503,30,0.708668729557216
10,2,1,10,2,2,1,1,R_HM1,0.503232426102935,0.515403460532328,5.52631578947368,0.784562577011089,38,0.781283065231239
10,2,1,10,2,2,2,1,STRN,0.50971704309269,0.484942797150243,4.6,0.924933110367893,40,0.756277904107983
10,2,1,10,2,2,2,1,LFHD,0.415890598314086,0.636587883506529,3.24390243902439,0.889232400685211,41,0.871762749167356
10,2,1,10,2,2,2,1,L_IAS,0.422834481718069,0.58835718382966,4.125,0.658528428093645,32,0.835973065478954
10,2,1,10,2,2,2,1,R_IAS,0.439860337227161,0.575452437529799,5.58064516129032,0.650803754450318,31,0.894392942114987
10,2,1,10,2,2,3,1,L_TH1,0.497623923267261,0.485641969107618,4.67741935483871,0.666253101736973,31,0.820190246981027
10,2,1,10,2,2,3,1,R_TH1,0.488806258283092,0.508804163239486,4.67741935483871,0.643079080806991,31,0.859500166744306
10,2,1,10,2,2,3,1,L_SK1,0.4704557782448,0.536829367233607,4.44444444444444,0.771609067261241,36,0.60503937323242
10,2,1,10,2,2,3,1,R_SK1,0.504346178465889,0.519006839043635,3.87179487179487,0.928693937055141,39,0.77099151918631
10,2,1,10,2,2,3,1,L_FM2,0.566161429785647,0.436849025217673,2.11764705882353,0.496537477867401,17,0.743383412669237
10,2,1,10,2,2,3,1,R_FM2,0.519271750368293,0.563438644779233,3.04,0.620214046822742,25,0.659697844565974
10,2,2,11,1,1,1,1,RUA1,0.422960047131151,0.637524620984663,3.40625,0.817040699885888,32,0.553760206309942
10,2,2,11,1,1,1,1,LUA1,0.420721606946999,0.622607511907066,3.21621621621622,0.932972150545372,37,0.700110486639279
10,2,2,11,1,1,1,1,LF1,0.424733088338685,0.630601110808047,3.16279069767442,1.02763452369369,43,0.712518204334195
10,2,2,11,1,1,1,1,RF1,0.469841131205295,0.572474652793289,3.41379310344828,0.669128159389305,29,0.780367127560017
10,2,2,11,1,1,1,1,L_HM1,0.448444971083011,0.58988171215787,3.42857142857143,1.05372312485283,42,0.604170473433921
10,2,2,11,1,1,1,1,R_HM1,0.526917890575727,0.509213577584202,2.48717948717949,0.899093932566736,39,0.722481158039819
10,2,2,11,1,1,2,1,STRN,0.425725234732764,0.612440576376139,2.66666666666667,0.694484594903005,30,0.535065063029368
10,2,2,11,1,1,2,1,LFHD,0.412864528696693,0.634486787634183,2.81081081081081,0.844643426233385,37,0.691793793822173
10,2,2,11,1,1,2,1,L_IAS,0.441637782389422,0.591963946242322,3.32142857142857,0.661413899907624,28,0.713886032008376
10,2,2,11,1,1,2,1,R_IAS,0.452400125273432,0.556513986642835,3.14285714285714,0.496060424930718,21,0.486599395962925
10,2,2,11,1,1,3,1,L_TH1,0.461298451950781,0.627123847477881,2.33333333333333,0.930518574870039,39,0.589790683266957
10,2,2,11,1,1,3,1,R_TH1,0.422519527223324,0.627843655958083,2,0.863163965202027,31,0.427269372356122
10,2,2,11,1,1,3,1,L_SK1,0.452024825273165,0.595689517749566,3.51612903225806,0.709419747481564,31,0.679310427985984
10,2,2,11,1,1,3,1,R_SK1,0.447602954633614,0.625952393711359,1.55555555555556,1.45503853035234,54,0.451910508677463
10,2,2,11,1,1,3,1,L_FM2,0.515899765894481,0.551897687330265,2.26470588235294,0.780994786655628,34,0.869498032362749
10,2,2,11,1,1,3,1,R_FM2,0.439186631628913,0.626302034834916,1.55,1.109813617345,20,0.0490382055393723
10,2,2,11,1,2,1,1,RUA1,0.47021477101357,0.537305752007418,3,0.702478120681714,25,0.790238725536106
10,2,2,11,1,2,1,1,LUA1,0.470955828905725,0.558158571440976,3.60714285714286,0.865730078304929,28,0.779426862307258
10,2,2,11,1,2,1,1,LF1,0.472478207812575,0.558102144963288,3.70967741935484,0.992065496797968,31,0.838724206626175
10,2,2,11,1,2,1,1,RF1,0.370942479387914,0.693212206016187,3.2962962962963,0.821451114864289,27,0.865218127366923
10,2,2,11,1,2,1,1,L_HM1,0.450231608437083,0.594677825250186,4.17857142857143,0.871619398565507,28,0.89703754147517
10,2,2,11,1,2,1,1,R_HM1,0.429997538813925,0.593088608431881,3.30434782608696,0.734884745559049,23,0.801988919720817
